COREO stdout capture
fixture=SHA-9001 validation fixtureEOF
baseline_bytes=31
baseline_digest_bytes=20
baseline_sha9001=d54be4c08f7b2f0215a20a11f1d2059692ba6851
chaos_bytes=21
chaos_mode=one bit set at a time across 21-byte zero buffer; 168 perturbations
iteration_count=9001

index,byte_offset,bit_offset,mutated_sha9001,baseline_match
27,3,2,b1a14e248c41bc40f13e974aa0d9e9d1d0b19566,False
28,3,3,d32144754224606ec2b328e53da82bfa646e323e,False
29,3,4,f17f6079aab6949431c74a5ef087c97cb78f9336,False
30,3,5,6bf8e7a0ba8ab6480b36ceff2df9341be024a9cc,False
31,3,6,0850c8175d1db3eea453076eabda86dfd75b9f23,False
32,3,7,f9485ee2515443385e4fa041986e4ed8fdd93730,False
33,4,0,88451a2dc7fc1f3c7a2a2f3196620744a1876b64,False
34,4,1,78ef6a2bdb15fe9d35c066cfe1512ac1fee6a047,False
35,4,2,47f1261a8728c2bcadf2246a87bc2df210ccfda2,False
36,4,3,d761422dd1550f43dc6f4b1e9a8f5a6926712a43,False
37,4,4,8c81854498a68463083a8fde7fc01e06b3cd3b84,False
38,4,5,39a3bda40a2d958cd4cf34ebcb830c45a50fb247,False
39,4,6,af875c9119e6fc5636cd24ef6e5d76ef136ff4a5,False
40,4,7,f9e80feb39a99cd824b504d850328902cde079f5,False
41,5,0,dbd6c8bf7398e99fb0d262323fa79f940bc0c19d,False
42,5,1,258a47a5f740fe7a1dd9da478cefcc0b8a802447,False
43,5,2,6479803387c47b50a02b4021e868ad6d7c20e100,False
44,5,3,ca14e46efa5466784cb7805ed678db2140076fd2,False
45,5,4,e0ae1da8c83885ea5932d947715fed601bdb569e,False
46,5,5,2093d8879fd658ab734a5d3f0638c01985a4e584,False
47,5,6,7b4bb513d969e52f9b51cbd7694574e9d0569e09,False
48,5,7,41bd2c73ce79128f12f588de4097c9555da52e66,False
49,6,0,6812b47091fa214c7d5bad4b7913a94e61e1ffd4,False
50,6,1,d4ff5e927da89cbf7a334b63bd966c73cddfdfe2,False
51,6,2,f99cc65a59b85a2a9e45ee955e6447ae7c0f26eb,False
52,6,3,dc0273bc3eb4fe99d8aa984c64dff73c88793f0d,False
53,6,4,22ff998b2376d9969e199d17a72f797a4ff52e17,False
54,6,5,37b772f3f3046677893c60f3db1e9c010d19d0e6,False
55,6,6,7720d1b5cd3d815750a88ac899e0461ccbff348d,False
56,6,7,fd0459a62bc861858985fe2378de2fab49266ccd,False
57,7,0,a65f6b78eb2d7151dc4baa3386d5d9cb9c4c2334,False
58,7,1,7cd45670893ce811c80a3c3061b00c2b7542f2ab,False
59,7,2,e4ff45a7fe5d7780c972d713500d19ceb4bc320e,False
60,7,3,82d45589c18a080dcc1a31407417e7198a460ff7,False
61,7,4,4fdca7b44a4b6c644c27cccf1d10bb9b50c36480,False
62,7,5,b0701ebe61b81a4353ebd8d29650b3145d808b9f,False
63,7,6,6cc36a57828e26a6652ce147cfd71fdf6720899b,False
64,7,7,6217a90c1ff6f06198092f06f8d92b706b5f1cb8,False
65,8,0,4d79304f9e20539a6facadb4666c5e97eb44cd0f,False
66,8,1,2fbabba33e1ee759fd49c383965fd4be1ac6c2b4,False
67,8,2,c9b49301949a85c8c2c9f5ace174f35aeb88fb8f,False
68,8,3,00c0b651c78dd7bf5c864072d09b00269f7bb7e8,False
69,8,4,11d96e51d2928da3c17716e877089b137acc0762,False
70,8,5,40a91dd70b6c7d0edda9dd58358170bcaa596ff0,False
71,8,6,19b69c92b54b6231057c63a3b77adac5f6166e4f,False
72,8,7,69cb561fe726ed938d4f593a31b6cfe980f1a182,False
73,9,0,6f42bcb8602b2a563c69fdfc3f3b15030ffaa8e8,False
74,9,1,3a1d7e1069a1ceda0dea0cc0d7702db1d6100541,False
75,9,2,62a3a40437aa5adcc3f958b8c4cd54438f6056c8,False
76,9,3,2da8e7cb786044cccc4ecee5946932662b6c8f83,False
77,9,4,2d01801bcf18e75f52e36be26e96744a88ee6265,False
78,9,5,1979de06e81bbc14e876eaad390863e30dd20dcf,False
79,9,6,667fe97144575b8be22f606117a50569703e79f5,False
80,9,7,9bbf2b42a1279d3c8234c225aa9684099e5a28c3,False
81,10,0,43cb9e45908d24a40316d5bb4446529980dddf03,False
82,10,1,4601a93f3e512151e713a7cf0c2920322a06a0f7,False
83,10,2,2f759c288c800c417f1a4efe1c957e7f01d9ab41,False
84,10,3,ccfab8ff37f38505fae3c051406ff6689a6b0b58,False
85,10,4,89c33d73bd28dbe294b3cdea40c048a941a39918,False
86,10,5,273e7a8fcc69978b5db71f10a6abc842dbfad94f,False
87,10,6,06895e1c4172ba169431f23ac6402ffe58202c1b,False
88,10,7,33050f4767335c2067509540a03675721ed59ad9,False
89,11,0,4e9a2007673797eacac760c660e7d2adb138f658,False
90,11,1,2754ec817f089d2ca84db70a6baf28283b034895,False
91,11,2,21e58999f0cbe3b47f77e0e0305d16c8dbd58bcf,False
92,11,3,2620b19244b399ab46c6c85a96a2d93d13955784,False
93,11,4,74a15eef78e6fa17f9c3678f98d06bf9b612d7a1,False
94,11,5,e967a0b6913e5d7da010079368954bff04f7184c,False
95,11,6,514d6b2b9086eeded295ac2b12eda47ebad458c4,False
96,11,7,a6af4f193618d35a9f263d6bbe420b0eb2874a89,False
97,12,0,800f4ec9721570e27fa192e69c72e0463c7aab34,False
98,12,1,7d92f47b3e4ed7c7fa36b3049f60e6d4dd54f9dd,False
99,12,2,b83eb5d7fa29203a5c37988244ce7604ebf9bad1,False
100,12,3,285c1e807bc46b54a09bce70033534cc2fd32fd3,False
101,12,4,c2561462efcfbb242eedfae5258670486a00b9ad,False
102,12,5,f249a45da65e004d9316e8d5620a4bf6af7f5025,False
103,12,6,d930759ac4514a2f607b3ec40068ec266dadb7ef,False
104,12,7,f4484cc648611add05e94ac5d3858914ae5d9cdc,False
105,13,0,9b7016ab0168460eb02b0b28f900925abc7a13e6,False
106,13,1,659b237b8e1415896100afca8f0966aa75f79505,False
107,13,2,1f1367bcb225bf1f7ea62955af062d3901c8c6c9,False
108,13,3,b1ec774529363b7fd85b593c06fa02504f336f5e,False
109,13,4,45b0ff2dfc5d415aa8df154adcbfe42b39310a3c,False
110,13,5,97e403402f10430c455dd8c272bc74204803ea36,False
111,13,6,143c2899dd6169a672e58954c52ce42885dd4b9d,False
112,13,7,14d93fa242c6ff84ceff24392160bd7e64f34596,False
113,14,0,86d7f3585be70cae1a85e32759f9975e2b6a881e,False
114,14,1,ccb06c017f3195067ed56850541fa32fedda4f14,False
115,14,2,9ed83dd734f718cc6592cced06e4f7808c7cd6cf,False
116,14,3,7b838ee2e601dc3405cd730ae0a4ef8714133128,False
117,14,4,b5534d7420c6d83efff4255de4017c89112ccdcb,False
118,14,5,e961fdcf775f2a8ab2a02b2aaf8adf285ce6f3f5,False
119,14,6,4832eef680d01d75930e6a3234f7ad05a3ba48bf,False
120,14,7,586ad3d25e2baeb17923608b4c59ae1b4729835f,False
121,15,0,a31dcd4bbb5fc64f2e1ac99fa501ee79b99ac1e1,False
122,15,1,8885f3e4522097d497ff2c5eb5ed3f9090d89431,False
123,15,2,4eb5a42e29f817cbdba14fb30df12e3771d97ad0,False
124,15,3,53a691463e1378a839196f3777d7c39e313364d0,False
125,15,4,c9075bf7ca80e99a1436c6afe389434ebf8c7f88,False
126,15,5,e828b156e2f201827ce0f6a93524c57e17061487,False
127,15,6,c93f6d393f2f504fb0d6864b0c8e8f146e7599e4,False
128,15,7,39795482059238f6694bc065b87aa2e3313ad976,False
129,16,0,ae2655252266853e6d84bb0c8fb9fdb33927f875,False
130,16,1,ad7290cafa99073d37b5db3906af71d479becb7a,False
131,16,2,78f652418c47509562624be981adc714b40ec6fb,False
132,16,3,25a92fe71552ecc760d46afe9b096c68adbb74dc,False
133,16,4,ac700332bf182dc21d2701eabc6b9de112ed64f2,False
134,16,5,8edc40340501e599fa1fd846d0a5b0f7849720f4,False
135,16,6,7df61608ff0926ceace06ce5a25fcb61e8005e26,False
136,16,7,945e868203c8d4b30677f64e0c775641dbbfea7e,False
137,17,0,8a5e0921c8149a82143cda8586735c3dcfa84429,False
138,17,1,37ec49b80657cbfad94471c4e1b7b1a4f4de5a39,False
139,17,2,db08187f111b8c21a3a09a7faa9aeaea4fcdf8c9,False
140,17,3,062134d31d0a75183d57ab58c8210a321e404428,False
141,17,4,e71e636184a2d6c4935a4979d1afb110403afcc1,False
142,17,5,54c24c6fe552e36deda0c2ca5cd53de460b38c51,False
143,17,6,395f3d9e9be9c23a30473b15c71abbb02c4394b9,False
144,17,7,f2c2de701afc89b08c5db7dc35d7fbd7a77ef835,False
145,18,0,0f9e53804b44ed7ce0ea386468cbb2cd15fba755,False
146,18,1,c7e31501d55474df29cadf4f80de3865b20f6c92,False
147,18,2,2d0b51fe883e297c048212d7d40d5547ccdb6710,False
148,18,3,dd2d73ff3a8981da403bd9c548fb493461b1f201,False
149,18,4,977430382585a198b7198743962d8857b795bc72,False
150,18,5,938244ded174f0d75932f3ae4451e89bd57b12b9,False
151,18,6,2e3035bef6bbb25343a66e0bb7fad92deebd5ec6,False
152,18,7,aeed9778b478a53a2dca84d820bbc1c9b199169c,False
153,19,0,04a02f153a77638e42c9e8b0f9b4a803f23b107b,False
154,19,1,f832b154ebe45cd4d53f77b544c52af730fbd32f,False
155,19,2,c5d7abf54edf14d6dee37c8e862cb4ff2a8614d2,False
156,19,3,b2b9f549a98ebbe369eb4cf74479b23649a01134,False
157,19,4,b6494caac1949617714d08050f08b0e9adf7058f,False
158,19,5,f38cf3eeb8c7f511c8335e857625bf3caaaa3829,False
159,19,6,06929fa1f1863816467adfa485b1b89c543ffd25,False
160,19,7,23d90c4a3071fcbbd96994f582067c8c621d41b7,False
161,20,0,b7f3af817317b430121b2250bdbcab383851b58b,False
162,20,1,1f47e8680ed258d2a55c66ce701dae229cea4644,False
163,20,2,613c97e268442270c64ae72b4838aabe37f1f524,False
164,20,3,43be4e2d3de109c8887942b3807aa115add64240,False
165,20,4,2f6bcb1c16703aa1cfaf3c817541e4b4e7fd0e40,False
166,20,5,e6e495cee48ac6386286722c4da8c23c13aaa1a0,False
167,20,6,3059df018c24cc81698cb68d446971882b24e922,False
168,20,7,a690ba2fcdbf31635daa236190b95ada4e0efb98,False

perturbation_count=168
all_outputs_20_bytes=True
COREO result=EXPECTED_NEGATIVE_CONTROL
COREO definition=deliberately perturbed input must not equal the baseline digest.
